Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,LONGIL,61762,43.73,2.6,-20.53
2015-01-01 06:00:00+00:00,LONGIL,61762,41.16,2.59,-17.99
2015-01-01 07:00:00+00:00,LONGIL,61762,37.69,2.37,-16.09
2015-01-01 08:00:00+00:00,LONGIL,61762,31.52,2.16,-11.51
2015-01-01 09:00:00+00:00,LONGIL,61762,30.0,2.17,-10.08
2015-01-01 10:00:00+00:00,LONGIL,61762,35.0,2.39,-13.33
2015-01-01 11:00:00+00:00,LONGIL,61762,32.0,1.84,-15.47
2015-01-01 12:00:00+00:00,LONGIL,61762,36.74,2.2,-16.39
2015-01-01 13:00:00+00:00,LONGIL,61762,37.94,2.62,-14.7
2015-01-01 14:00:00+00:00,LONGIL,61762,41.19,2.65,-17.88
2015-01-01 15:00:00+00:00,LONGIL,61762,42.83,2.86,-19.22
2015-01-01 16:00:00+00:00,LONGIL,61762,43.57,2.94,-19.8
2015-01-01 17:00:00+00:00,LONGIL,61762,43.62,2.87,-19.96
2015-01-01 18:00:00+00:00,LONGIL,61762,45.44,2.82,-21.87
2015-01-01 19:00:00+00:00,LONGIL,61762,45.0,2.85,-21.39
2015-01-01 20:00:00+00:00,LONGIL,61762,44.1,2.87,-20.44
2015-01-01 21:00:00+00:00,LONGIL,61762,50.01,3.25,-24.01
2015-01-01 22:00:00+00:00,LONGIL,61762,64.75,4.5,-28.37
2015-01-01 23:00:00+00:00,LONGIL,61762,61.28,4.29,-26.77
2015-01-02 00:00:00+00:00,LONGIL,61762,53.98,3.58,-25.53
2015-01-02 01:00:00+00:00,LONGIL,61762,50.46,3.55,-22.74
2015-01-02 02:00:00+00:00,LONGIL,61762,46.57,3.26,-20.8
2015-01-02 03:00:00+00:00,LONGIL,61762,43.66,3.44,-16.83
2015-01-02 04:00:00+00:00,LONGIL,61762,40.97,2.91,-17.25
2015-01-02 05:00:00+00:00,LONGIL,61762,34.94,2.36,-13.21
2015-01-02 06:00:00+00:00,LONGIL,61762,32.0,2.11,-12.4
2015-01-02 07:00:00+00:00,LONGIL,61762,27.95,2.13,-8.04
2015-01-02 08:00:00+00:00,LONGIL,61762,26.82,2.11,-6.93
2015-01-02 09:00:00+00:00,LONGIL,61762,27.3,2.13,-7.31
2015-01-02 10:00:00+00:00,LONGIL,61762,30.75,2.55,-7.59
2015-01-02 11:00:00+00:00,LONGIL,61762,36.06,2.79,-12.56
2015-01-02 12:00:00+00:00,LONGIL,61762,40.03,2.95,-16.3
2015-01-02 13:00:00+00:00,LONGIL,61762,41.95,3.48,-15.26
2015-01-02 14:00:00+00:00,LONGIL,61762,46.38,3.69,-17.94
2015-01-02 15:00:00+00:00,LONGIL,61762,49.81,3.43,-23.04
2015-01-02 16:00:00+00:00,LONGIL,61762,48.64,3.52,-21.47
2015-01-02 17:00:00+00:00,LONGIL,61762,44.82,3.36,-18.41
2015-01-02 18:00:00+00:00,LONGIL,61762,42.79,3.32,-16.56
2015-01-02 19:00:00+00:00,LONGIL,61762,38.25,3.47,-11.22
2015-01-02 20:00:00+00:00,LONGIL,61762,40.58,3.49,-13.82
2015-01-02 21:00:00+00:00,LONGIL,61762,50.2,3.96,-20.15
2015-01-02 22:00:00+00:00,LONGIL,61762,70.22,5.09,-30.04
2015-01-02 23:00:00+00:00,LONGIL,61762,58.56,4.7,-22.06
2015-01-03 00:00:00+00:00,LONGIL,61762,52.8,4.15,-21.32
2015-01-03 01:00:00+00:00,LONGIL,61762,54.16,3.99,-24.06
2015-01-03 02:00:00+00:00,LONGIL,61762,52.17,3.47,-25.24
2015-01-03 03:00:00+00:00,LONGIL,61762,37.99,3.18,-12.25
2015-01-03 04:00:00+00:00,LONGIL,61762,34.65,2.79,-11.15
2015-01-03 05:00:00+00:00,LONGIL,61762,33.2,2.61,-10.03
2015-01-03 06:00:00+00:00,LONGIL,61762,30.23,2.42,-8.33
2015-01-03 07:00:00+00:00,LONGIL,61762,28.0,2.18,-7.91
2015-01-03 08:00:00+00:00,LONGIL,61762,25.24,2.25,-4.72
2015-01-03 09:00:00+00:00,LONGIL,61762,25.7,2.2,-5.49
2015-01-03 10:00:00+00:00,LONGIL,61762,29.46,2.34,-8.43
2015-01-03 11:00:00+00:00,LONGIL,61762,31.65,2.69,-8.42
2015-01-03 12:00:00+00:00,LONGIL,61762,33.19,2.66,-10.69
2015-01-03 13:00:00+00:00,LONGIL,61762,34.38,3.08,-9.91
2015-01-03 14:00:00+00:00,LONGIL,61762,36.78,3.14,-12.54
2015-01-03 15:00:00+00:00,LONGIL,61762,38.18,3.38,-12.12
2015-01-03 16:00:00+00:00,LONGIL,61762,37.8,3.5,-11.11
2015-01-03 17:00:00+00:00,LONGIL,61762,38.02,3.34,-12.31
2015-01-03 18:00:00+00:00,LONGIL,61762,36.04,3.05,-12.27
2015-01-03 19:00:00+00:00,LONGIL,61762,34.71,3.05,-10.91
2015-01-03 20:00:00+00:00,LONGIL,61762,34.72,3.07,-10.93
2015-01-03 21:00:00+00:00,LONGIL,61762,39.81,3.41,-14.55
2015-01-03 22:00:00+00:00,LONGIL,61762,49.16,3.7,-21.42
2015-01-03 23:00:00+00:00,LONGIL,61762,45.34,3.74,-17.77
2015-01-04 00:00:00+00:00,LONGIL,61762,40.62,3.31,-16.36
2015-01-04 01:00:00+00:00,LONGIL,61762,39.7,3.29,-15.6
2015-01-04 02:00:00+00:00,LONGIL,61762,37.79,3.07,-14.0
2015-01-04 03:00:00+00:00,LONGIL,61762,34.51,2.99,-10.8
2015-01-04 04:00:00+00:00,LONGIL,61762,33.19,2.38,-12.35
2015-01-04 05:00:00+00:00,LONGIL,61762,28.96,1.98,-11.55
2015-01-04 06:00:00+00:00,LONGIL,61762,25.91,1.58,-11.59
2015-01-04 07:00:00+00:00,LONGIL,61762,23.0,1.56,-8.84
2015-01-04 08:00:00+00:00,LONGIL,61762,21.9,1.55,-7.98
2015-01-04 09:00:00+00:00,LONGIL,61762,21.62,1.53,-7.71
2015-01-04 10:00:00+00:00,LONGIL,61762,21.14,1.58,-6.9
2015-01-04 11:00:00+00:00,LONGIL,61762,24.23,1.59,-10.26
2015-01-04 12:00:00+00:00,LONGIL,61762,27.78,1.84,-10.96
2015-01-04 13:00:00+00:00,LONGIL,61762,32.15,2.06,-14.57
2015-01-04 14:00:00+00:00,LONGIL,61762,38.0,2.62,-16.42
2015-01-04 15:00:00+00:00,LONGIL,61762,39.55,2.9,-16.55
2015-01-04 16:00:00+00:00,LONGIL,61762,40.43,3.04,-16.73
2015-01-04 17:00:00+00:00,LONGIL,61762,40.44,2.97,-17.17
2015-01-04 18:00:00+00:00,LONGIL,61762,38.88,2.98,-15.77
2015-01-04 19:00:00+00:00,LONGIL,61762,37.38,2.96,-14.39
2015-01-04 20:00:00+00:00,LONGIL,61762,36.66,3.05,-12.87
2015-01-04 21:00:00+00:00,LONGIL,61762,46.89,3.27,-22.76
2015-01-04 22:00:00+00:00,LONGIL,61762,75.0,3.73,-47.62
2015-01-04 23:00:00+00:00,LONGIL,61762,57.34,3.74,-30.21
2015-01-05 00:00:00+00:00,LONGIL,61762,47.09,3.36,-22.85
2015-01-05 01:00:00+00:00,LONGIL,61762,46.53,3.29,-22.41
2015-01-05 02:00:00+00:00,LONGIL,61762,43.81,3.18,-19.84
2015-01-05 03:00:00+00:00,LONGIL,61762,34.51,2.96,-10.82
2015-01-05 04:00:00+00:00,LONGIL,61762,27.96,2.36,-7.14
2015-01-05 05:00:00+00:00,LONGIL,61762,33.94,2.32,-13.66
2015-01-05 06:00:00+00:00,LONGIL,61762,28.33,2.42,-7.27
2015-01-05 07:00:00+00:00,LONGIL,61762,27.33,2.3,-6.76
2015-01-05 08:00:00+00:00,LONGIL,61762,27.39,2.34,-6.22
2015-01-05 09:00:00+00:00,LONGIL,61762,27.66,2.45,-5.74
2015-01-05 10:00:00+00:00,LONGIL,61762,33.07,2.75,-9.64
2015-01-05 11:00:00+00:00,LONGIL,61762,41.74,3.59,-13.91
2015-01-05 12:00:00+00:00,LONGIL,61762,47.36,4.62,-11.54
2015-01-05 13:00:00+00:00,LONGIL,61762,48.56,5.53,-6.61
2015-01-05 14:00:00+00:00,LONGIL,61762,51.6,5.28,-11.33
2015-01-05 15:00:00+00:00,LONGIL,61762,59.96,5.61,-18.63
2015-01-05 16:00:00+00:00,LONGIL,61762,57.51,5.42,-18.23
2015-01-05 17:00:00+00:00,LONGIL,61762,55.66,5.0,-19.01
2015-01-05 18:00:00+00:00,LONGIL,61762,56.67,4.87,-21.18
2015-01-05 19:00:00+00:00,LONGIL,61762,56.67,4.82,-21.73
2015-01-05 20:00:00+00:00,LONGIL,61762,58.89,4.71,-24.35
2015-01-05 21:00:00+00:00,LONGIL,61762,64.73,5.89,-20.1
2015-01-05 22:00:00+00:00,LONGIL,61762,89.09,7.78,-27.65
2015-01-05 23:00:00+00:00,LONGIL,61762,78.18,7.73,-17.86
2015-01-06 00:00:00+00:00,LONGIL,61762,71.84,7.47,-13.55
2015-01-06 01:00:00+00:00,LONGIL,61762,67.18,6.66,-15.52
2015-01-06 02:00:00+00:00,LONGIL,61762,57.93,5.82,-13.08
2015-01-06 03:00:00+00:00,LONGIL,61762,49.34,5.39,-6.74
2015-01-06 04:00:00+00:00,LONGIL,61762,41.99,3.55,-11.94
2015-01-06 05:00:00+00:00,LONGIL,61762,42.75,2.87,-16.55
2015-01-06 06:00:00+00:00,LONGIL,61762,39.05,2.81,-13.54
2015-01-06 07:00:00+00:00,LONGIL,61762,38.52,2.78,-12.8
2015-01-06 08:00:00+00:00,LONGIL,61762,36.56,2.87,-10.69
2015-01-06 09:00:00+00:00,LONGIL,61762,38.39,2.87,-10.95
2015-01-06 10:00:00+00:00,LONGIL,61762,49.22,3.83,-11.21
2015-01-06 11:00:00+00:00,LONGIL,61762,73.17,4.52,-28.24
2015-01-06 12:00:00+00:00,LONGIL,61762,80.54,5.76,-22.43
2015-01-06 13:00:00+00:00,LONGIL,61762,78.98,5.47,-25.05
2015-01-06 14:00:00+00:00,LONGIL,61762,79.16,4.83,-37.46
2015-01-06 15:00:00+00:00,LONGIL,61762,88.0,4.89,-48.18
2015-01-06 16:00:00+00:00,LONGIL,61762,78.5,4.63,-40.76
2015-01-06 17:00:00+00:00,LONGIL,61762,75.47,4.42,-39.51
2015-01-06 18:00:00+00:00,LONGIL,61762,75.46,4.36,-40.37
2015-01-06 19:00:00+00:00,LONGIL,61762,74.44,4.32,-39.66
2015-01-06 20:00:00+00:00,LONGIL,61762,75.88,4.59,-38.51
2015-01-06 21:00:00+00:00,LONGIL,61762,88.28,6.48,-35.15
2015-01-06 22:00:00+00:00,LONGIL,61762,122.0,8.22,-50.5
2015-01-06 23:00:00+00:00,LONGIL,61762,99.18,7.3,-36.11
2015-01-07 00:00:00+00:00,LONGIL,61762,91.0,6.61,-32.79
2015-01-07 01:00:00+00:00,LONGIL,61762,80.0,5.92,-29.25
2015-01-07 02:00:00+00:00,LONGIL,61762,74.42,4.66,-35.24
2015-01-07 03:00:00+00:00,LONGIL,61762,64.75,3.45,-35.76
2015-01-07 04:00:00+00:00,LONGIL,61762,61.35,2.4,-38.41
2015-01-07 05:00:00+00:00,LONGIL,61762,100.17,4.02,-65.01
2015-01-07 06:00:00+00:00,LONGIL,61762,94.44,4.05,-59.0
2015-01-07 07:00:00+00:00,LONGIL,61762,86.79,4.14,-50.6
2015-01-07 08:00:00+00:00,LONGIL,61762,62.18,3.98,-27.37
2015-01-07 09:00:00+00:00,LONGIL,61762,88.0,4.32,-48.87
2015-01-07 10:00:00+00:00,LONGIL,61762,99.71,4.23,-62.7
2015-01-07 11:00:00+00:00,LONGIL,61762,123.53,6.04,-71.71
2015-01-07 12:00:00+00:00,LONGIL,61762,149.0,8.15,-80.05
