Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,NORTH,61755,20.06,-0.54,0.0
2015-01-01 06:00:00+00:00,NORTH,61755,20.0,-0.58,0.0
2015-01-01 07:00:00+00:00,NORTH,61755,18.72,-0.52,0.0
2015-01-01 08:00:00+00:00,NORTH,61755,17.35,-0.5,0.0
2015-01-01 09:00:00+00:00,NORTH,61755,17.23,-0.53,0.0
2015-01-01 10:00:00+00:00,NORTH,61755,18.68,-0.6,0.0
2015-01-01 11:00:00+00:00,NORTH,61755,14.22,-0.47,0.0
2015-01-01 12:00:00+00:00,NORTH,61755,17.57,-0.58,0.0
2015-01-01 13:00:00+00:00,NORTH,61755,19.9,-0.72,0.0
2015-01-01 14:00:00+00:00,NORTH,61755,19.92,-0.74,0.0
2015-01-01 15:00:00+00:00,NORTH,61755,19.81,-0.93,0.0
2015-01-01 16:00:00+00:00,NORTH,61755,19.77,-1.06,0.0
2015-01-01 17:00:00+00:00,NORTH,61755,19.83,-0.96,0.0
2015-01-01 18:00:00+00:00,NORTH,61755,19.84,-0.91,0.0
2015-01-01 19:00:00+00:00,NORTH,61755,19.81,-0.96,0.0
2015-01-01 20:00:00+00:00,NORTH,61755,19.81,-0.98,0.0
2015-01-01 21:00:00+00:00,NORTH,61755,21.59,-1.16,0.0
2015-01-01 22:00:00+00:00,NORTH,61755,30.0,-1.88,0.0
2015-01-01 23:00:00+00:00,NORTH,61755,28.32,-1.9,0.0
2015-01-02 00:00:00+00:00,NORTH,61755,23.3,-1.57,0.0
2015-01-02 01:00:00+00:00,NORTH,61755,22.52,-1.64,0.0
2015-01-02 02:00:00+00:00,NORTH,61755,21.3,-1.22,0.0
2015-01-02 03:00:00+00:00,NORTH,61755,22.1,-1.29,0.0
2015-01-02 04:00:00+00:00,NORTH,61755,19.87,-0.94,0.0
2015-01-02 05:00:00+00:00,NORTH,61755,18.9,-0.47,0.0
2015-01-02 06:00:00+00:00,NORTH,61755,16.99,-0.49,0.0
2015-01-02 07:00:00+00:00,NORTH,61755,17.27,-0.5,0.0
2015-01-02 08:00:00+00:00,NORTH,61755,17.3,-0.48,0.0
2015-01-02 09:00:00+00:00,NORTH,61755,17.39,-0.48,0.0
