Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,N.Y.C.,61761,31.45,1.96,-8.89
2015-01-01 06:00:00+00:00,N.Y.C.,61761,26.49,1.96,-3.95
2015-01-01 07:00:00+00:00,N.Y.C.,61761,24.54,1.75,-3.56
2015-01-01 08:00:00+00:00,N.Y.C.,61761,23.64,1.61,-4.18
2015-01-01 09:00:00+00:00,N.Y.C.,61761,24.1,1.6,-4.74
2015-01-01 10:00:00+00:00,N.Y.C.,61761,26.32,1.77,-5.27
2015-01-01 11:00:00+00:00,N.Y.C.,61761,31.48,1.34,-15.45
2015-01-01 12:00:00+00:00,N.Y.C.,61761,30.57,1.51,-10.92
2015-01-01 13:00:00+00:00,N.Y.C.,61761,31.34,1.86,-8.86
2015-01-01 14:00:00+00:00,N.Y.C.,61761,33.21,1.88,-10.67
2015-01-01 15:00:00+00:00,N.Y.C.,61761,29.85,2.16,-6.95
2015-01-01 16:00:00+00:00,N.Y.C.,61761,29.78,2.23,-6.72
2015-01-01 17:00:00+00:00,N.Y.C.,61761,28.96,2.14,-6.03
2015-01-01 18:00:00+00:00,N.Y.C.,61761,28.46,2.09,-5.62
2015-01-01 19:00:00+00:00,N.Y.C.,61761,27.74,2.12,-4.85
2015-01-01 20:00:00+00:00,N.Y.C.,61761,28.9,2.14,-5.97
2015-01-01 21:00:00+00:00,N.Y.C.,61761,34.77,2.41,-9.61
2015-01-01 22:00:00+00:00,N.Y.C.,61761,49.66,3.25,-14.53
2015-01-01 23:00:00+00:00,N.Y.C.,61761,44.15,3.17,-10.75
2015-01-02 00:00:00+00:00,N.Y.C.,61761,39.02,2.71,-11.44
2015-01-02 01:00:00+00:00,N.Y.C.,61761,35.5,2.75,-8.58
2015-01-02 02:00:00+00:00,N.Y.C.,61761,33.11,2.54,-8.05
2015-01-02 03:00:00+00:00,N.Y.C.,61761,29.99,2.76,-3.84
2015-01-02 04:00:00+00:00,N.Y.C.,61761,27.68,2.29,-4.58
2015-01-02 05:00:00+00:00,N.Y.C.,61761,28.77,1.74,-7.66
2015-01-02 06:00:00+00:00,N.Y.C.,61761,27.61,1.52,-8.61
2015-01-02 07:00:00+00:00,N.Y.C.,61761,24.41,1.51,-5.13
2015-01-02 08:00:00+00:00,N.Y.C.,61761,24.01,1.49,-4.74
2015-01-02 09:00:00+00:00,N.Y.C.,61761,24.03,1.5,-4.66
2015-01-02 10:00:00+00:00,N.Y.C.,61761,25.68,1.83,-3.25
2015-01-02 11:00:00+00:00,N.Y.C.,61761,27.03,2.09,-4.23
2015-01-02 12:00:00+00:00,N.Y.C.,61761,31.76,2.22,-8.76
2015-01-02 13:00:00+00:00,N.Y.C.,61761,31.44,2.74,-5.49
2015-01-02 14:00:00+00:00,N.Y.C.,61761,35.05,2.92,-7.39
2015-01-02 15:00:00+00:00,N.Y.C.,61761,40.57,2.75,-14.48
2015-01-02 16:00:00+00:00,N.Y.C.,61761,35.09,2.84,-8.6
2015-01-02 17:00:00+00:00,N.Y.C.,61761,31.71,2.69,-5.98
2015-01-02 18:00:00+00:00,N.Y.C.,61761,29.92,2.68,-4.34
2015-01-02 19:00:00+00:00,N.Y.C.,61761,27.67,2.8,-1.3
2015-01-02 20:00:00+00:00,N.Y.C.,61761,28.93,2.84,-2.82
2015-01-02 21:00:00+00:00,N.Y.C.,61761,37.25,3.13,-8.03
2015-01-02 22:00:00+00:00,N.Y.C.,61761,49.67,3.93,-10.66
2015-01-02 23:00:00+00:00,N.Y.C.,61761,46.08,3.69,-10.6
2015-01-03 00:00:00+00:00,N.Y.C.,61761,45.13,3.28,-14.52
