Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,WEST,61752,20.77,-1.26,-1.43
2015-01-01 06:00:00+00:00,WEST,61752,19.98,-1.23,-0.64
2015-01-01 07:00:00+00:00,WEST,61752,18.61,-1.19,-0.57
2015-01-01 08:00:00+00:00,WEST,61752,17.45,-1.07,-0.67
2015-01-01 09:00:00+00:00,WEST,61752,17.46,-1.07,-0.76
2015-01-01 10:00:00+00:00,WEST,61752,19.01,-1.12,-0.85
2015-01-01 11:00:00+00:00,WEST,61752,16.42,-0.76,-2.49
2015-01-01 12:00:00+00:00,WEST,61752,18.97,-0.94,-1.76
2015-01-01 13:00:00+00:00,WEST,61752,20.75,-1.3,-1.43
2015-01-01 14:00:00+00:00,WEST,61752,21.27,-1.12,-1.72
2015-01-01 15:00:00+00:00,WEST,61752,20.89,-0.97,-1.12
2015-01-01 16:00:00+00:00,WEST,61752,21.27,-0.65,-1.08
2015-01-01 17:00:00+00:00,WEST,61752,20.93,-0.83,-0.97
2015-01-01 18:00:00+00:00,WEST,61752,20.76,-0.89,-0.91
2015-01-01 19:00:00+00:00,WEST,61752,20.78,-0.77,-0.78
2015-01-01 20:00:00+00:00,WEST,61752,21.05,-0.71,-0.96
2015-01-01 21:00:00+00:00,WEST,61752,23.6,-0.71,-1.55
2015-01-01 22:00:00+00:00,WEST,61752,33.37,-0.86,-2.34
2015-01-01 23:00:00+00:00,WEST,61752,31.26,-0.69,-1.73
2015-01-02 00:00:00+00:00,WEST,61752,26.17,-0.55,-1.85
2015-01-02 01:00:00+00:00,WEST,61752,25.09,-0.46,-1.38
2015-01-02 02:00:00+00:00,WEST,61752,23.11,-0.7,-1.3
2015-01-02 03:00:00+00:00,WEST,61752,23.54,-0.47,-0.62
2015-01-02 04:00:00+00:00,WEST,61752,21.28,-0.27,-0.74
2015-01-02 05:00:00+00:00,WEST,61752,19.34,-1.26,-1.23
2015-01-02 06:00:00+00:00,WEST,61752,17.73,-1.14,-1.39
2015-01-02 07:00:00+00:00,WEST,61752,17.44,-1.15,-0.83
2015-01-02 08:00:00+00:00,WEST,61752,17.42,-1.12,-0.76
2015-01-02 09:00:00+00:00,WEST,61752,17.44,-1.18,-0.75
2015-01-02 10:00:00+00:00,WEST,61752,19.87,-1.26,-0.52
2015-01-02 11:00:00+00:00,WEST,61752,20.37,-1.01,-0.68
2015-01-02 12:00:00+00:00,WEST,61752,21.27,-0.93,-1.43
2015-01-02 13:00:00+00:00,WEST,61752,23.11,-1.0,-0.89
2015-01-02 14:00:00+00:00,WEST,61752,24.89,-1.06,-1.2
2015-01-02 15:00:00+00:00,WEST,61752,24.18,-0.98,-1.82
2015-01-02 16:00:00+00:00,WEST,61752,23.88,-0.87,-1.11
2015-01-02 17:00:00+00:00,WEST,61752,22.93,-1.08,-0.97
2015-01-02 18:00:00+00:00,WEST,61752,22.61,-1.01,-0.71
2015-01-02 19:00:00+00:00,WEST,61752,22.95,-0.83,-0.21
2015-01-02 20:00:00+00:00,WEST,61752,22.8,-0.93,-0.46
2015-01-02 21:00:00+00:00,WEST,61752,26.17,-1.04,-1.13
2015-01-02 22:00:00+00:00,WEST,61752,34.44,-1.61,-0.97
2015-01-02 23:00:00+00:00,WEST,61752,31.26,-1.3,-0.77
2015-01-03 00:00:00+00:00,WEST,61752,27.83,-0.85,-1.35
2015-01-03 01:00:00+00:00,WEST,61752,25.96,-0.78,-0.64
2015-01-03 02:00:00+00:00,WEST,61752,22.86,-0.84,-0.24
2015-01-03 03:00:00+00:00,WEST,61752,22.22,-0.77,-0.42
2015-01-03 04:00:00+00:00,WEST,61752,20.8,-0.87,-0.96
2015-01-03 05:00:00+00:00,WEST,61752,20.31,-1.27,-1.02
