Time Stamp,LF
2015-01-01 05:00:00+00:00,1700
2015-01-01 06:00:00+00:00,1614
2015-01-01 07:00:00+00:00,1559
2015-01-01 08:00:00+00:00,1537
2015-01-01 09:00:00+00:00,1544
2015-01-01 10:00:00+00:00,1566
2015-01-01 11:00:00+00:00,1594
2015-01-01 12:00:00+00:00,1606
2015-01-01 13:00:00+00:00,1612
2015-01-01 14:00:00+00:00,1720
2015-01-01 15:00:00+00:00,1792
2015-01-01 16:00:00+00:00,1782
2015-01-01 17:00:00+00:00,1806
2015-01-01 18:00:00+00:00,1806
2015-01-01 19:00:00+00:00,1791
2015-01-01 20:00:00+00:00,1784
2015-01-01 21:00:00+00:00,1844
2015-01-01 22:00:00+00:00,1999
2015-01-01 23:00:00+00:00,2007
2015-01-02 00:00:00+00:00,1979
2015-01-02 01:00:00+00:00,1940
2015-01-02 02:00:00+00:00,1865
2015-01-02 03:00:00+00:00,1776
2015-01-02 04:00:00+00:00,1684
2015-01-02 05:00:00+00:00,1611
2015-01-02 06:00:00+00:00,1561
2015-01-02 07:00:00+00:00,1538
2015-01-02 08:00:00+00:00,1528
2015-01-02 09:00:00+00:00,1532
2015-01-02 10:00:00+00:00,1588
2015-01-02 11:00:00+00:00,1672
2015-01-02 12:00:00+00:00,1772
2015-01-02 13:00:00+00:00,1812
2015-01-02 14:00:00+00:00,1848
2015-01-02 15:00:00+00:00,1884
2015-01-02 16:00:00+00:00,1897
2015-01-02 17:00:00+00:00,1887
2015-01-02 18:00:00+00:00,1875
2015-01-02 19:00:00+00:00,1852
2015-01-02 20:00:00+00:00,1828
2015-01-02 21:00:00+00:00,1850
2015-01-02 22:00:00+00:00,2011
2015-01-02 23:00:00+00:00,2020
2015-01-03 00:00:00+00:00,2007
2015-01-03 01:00:00+00:00,1978
2015-01-03 02:00:00+00:00,1920
2015-01-03 03:00:00+00:00,1839
2015-01-03 04:00:00+00:00,1738
2015-01-03 05:00:00+00:00,1669
2015-01-03 06:00:00+00:00,1610
2015-01-03 07:00:00+00:00,1568
2015-01-03 08:00:00+00:00,1545
2015-01-03 09:00:00+00:00,1519
2015-01-03 10:00:00+00:00,1532
2015-01-03 11:00:00+00:00,1586
2015-01-03 12:00:00+00:00,1672
2015-01-03 13:00:00+00:00,1722
2015-01-03 14:00:00+00:00,1761
2015-01-03 15:00:00+00:00,1777
2015-01-03 16:00:00+00:00,1781
2015-01-03 17:00:00+00:00,1765
2015-01-03 18:00:00+00:00,1761
2015-01-03 19:00:00+00:00,1745
2015-01-03 20:00:00+00:00,1730
2015-01-03 21:00:00+00:00,1769
2015-01-03 22:00:00+00:00,1905
2015-01-03 23:00:00+00:00,1919
2015-01-04 00:00:00+00:00,1895
2015-01-04 01:00:00+00:00,1857
2015-01-04 02:00:00+00:00,1799
2015-01-04 03:00:00+00:00,1737
2015-01-04 04:00:00+00:00,1650
2015-01-04 05:00:00+00:00,1553
2015-01-04 06:00:00+00:00,1507
2015-01-04 07:00:00+00:00,1475
2015-01-04 08:00:00+00:00,1453
2015-01-04 09:00:00+00:00,1424
2015-01-04 10:00:00+00:00,1427
2015-01-04 11:00:00+00:00,1484
2015-01-04 12:00:00+00:00,1573
2015-01-04 13:00:00+00:00,1614
2015-01-04 14:00:00+00:00,1645
2015-01-04 15:00:00+00:00,1669
2015-01-04 16:00:00+00:00,1687
2015-01-04 17:00:00+00:00,1684
2015-01-04 18:00:00+00:00,1698
2015-01-04 19:00:00+00:00,1692
2015-01-04 20:00:00+00:00,1694
2015-01-04 21:00:00+00:00,1740
2015-01-04 22:00:00+00:00,1866
2015-01-04 23:00:00+00:00,1889
2015-01-05 00:00:00+00:00,1873
2015-01-05 01:00:00+00:00,1848
2015-01-05 02:00:00+00:00,1801
2015-01-05 03:00:00+00:00,1751
2015-01-05 04:00:00+00:00,1678
2015-01-05 05:00:00+00:00,1646
2015-01-05 06:00:00+00:00,1594
2015-01-05 07:00:00+00:00,1570
2015-01-05 08:00:00+00:00,1569
2015-01-05 09:00:00+00:00,1638
2015-01-05 10:00:00+00:00,1696
2015-01-05 11:00:00+00:00,1859
2015-01-05 12:00:00+00:00,1996
2015-01-05 13:00:00+00:00,2034
2015-01-05 14:00:00+00:00,2068
2015-01-05 15:00:00+00:00,2085
2015-01-05 16:00:00+00:00,2096
2015-01-05 17:00:00+00:00,2084
2015-01-05 18:00:00+00:00,2089
2015-01-05 19:00:00+00:00,2066
2015-01-05 20:00:00+00:00,2044
2015-01-05 21:00:00+00:00,2070
2015-01-05 22:00:00+00:00,2201
2015-01-05 23:00:00+00:00,2227
2015-01-06 00:00:00+00:00,2193
2015-01-06 01:00:00+00:00,2141
2015-01-06 02:00:00+00:00,2062
2015-01-06 03:00:00+00:00,1963
2015-01-06 04:00:00+00:00,1835
2015-01-06 05:00:00+00:00,1775
2015-01-06 06:00:00+00:00,1717
2015-01-06 07:00:00+00:00,1687
2015-01-06 08:00:00+00:00,1677
2015-01-06 09:00:00+00:00,1733
2015-01-06 10:00:00+00:00,1800
2015-01-06 11:00:00+00:00,1945
2015-01-06 12:00:00+00:00,2052
2015-01-06 13:00:00+00:00,2079
2015-01-06 14:00:00+00:00,2101
2015-01-06 15:00:00+00:00,2108
2015-01-06 16:00:00+00:00,2109
2015-01-06 17:00:00+00:00,2093
2015-01-06 18:00:00+00:00,2096
2015-01-06 19:00:00+00:00,2075
2015-01-06 20:00:00+00:00,2051
2015-01-06 21:00:00+00:00,2066
2015-01-06 22:00:00+00:00,2180
2015-01-06 23:00:00+00:00,2203
2015-01-07 00:00:00+00:00,2172
2015-01-07 01:00:00+00:00,2123
2015-01-07 02:00:00+00:00,2039
2015-01-07 03:00:00+00:00,1941
2015-01-07 04:00:00+00:00,1826
2015-01-07 05:00:00+00:00,1795
2015-01-07 06:00:00+00:00,1769
2015-01-07 07:00:00+00:00,1754
2015-01-07 08:00:00+00:00,1744
2015-01-07 09:00:00+00:00,1771
2015-01-07 10:00:00+00:00,1850
2015-01-07 11:00:00+00:00,1988
2015-01-07 12:00:00+00:00,2099
2015-01-07 13:00:00+00:00,2135
2015-01-07 14:00:00+00:00,2165
2015-01-07 15:00:00+00:00,2185
2015-01-07 16:00:00+00:00,2194
2015-01-07 17:00:00+00:00,2186
2015-01-07 18:00:00+00:00,2197
2015-01-07 19:00:00+00:00,2186
2015-01-07 20:00:00+00:00,2173
2015-01-07 21:00:00+00:00,2191
2015-01-07 22:00:00+00:00,2287
2015-01-07 23:00:00+00:00,2306
2015-01-08 00:00:00+00:00,2275
2015-01-08 01:00:00+00:00,2234
2015-01-08 02:00:00+00:00,2157
2015-01-08 03:00:00+00:00,2069
2015-01-08 04:00:00+00:00,1959
2015-01-08 05:00:00+00:00,1876
2015-01-08 06:00:00+00:00,1836
2015-01-08 07:00:00+00:00,1815
2015-01-08 08:00:00+00:00,1805
2015-01-08 09:00:00+00:00,1844
2015-01-08 10:00:00+00:00,1927
2015-01-08 11:00:00+00:00,2065
2015-01-08 12:00:00+00:00,2159
2015-01-08 13:00:00+00:00,2186
2015-01-08 14:00:00+00:00,2202
2015-01-08 15:00:00+00:00,2207
2015-01-08 16:00:00+00:00,2217
2015-01-08 17:00:00+00:00,2201
2015-01-08 18:00:00+00:00,2204
2015-01-08 19:00:00+00:00,2187
2015-01-08 20:00:00+00:00,2173
2015-01-08 21:00:00+00:00,2192
2015-01-08 22:00:00+00:00,2291
2015-01-08 23:00:00+00:00,2313
2015-01-09 00:00:00+00:00,2282
2015-01-09 01:00:00+00:00,2240
2015-01-09 02:00:00+00:00,2161
2015-01-09 03:00:00+00:00,2065
2015-01-09 04:00:00+00:00,1954
2015-01-09 05:00:00+00:00,1859
2015-01-09 06:00:00+00:00,1824
2015-01-09 07:00:00+00:00,1799
2015-01-09 08:00:00+00:00,1789
2015-01-09 09:00:00+00:00,1812
2015-01-09 10:00:00+00:00,1885
2015-01-09 11:00:00+00:00,2012
2015-01-09 12:00:00+00:00,2115
2015-01-09 13:00:00+00:00,2143
2015-01-09 14:00:00+00:00,2170
2015-01-09 15:00:00+00:00,2187
2015-01-09 16:00:00+00:00,2197
2015-01-09 17:00:00+00:00,2183
2015-01-09 18:00:00+00:00,2188
2015-01-09 19:00:00+00:00,2175
2015-01-09 20:00:00+00:00,2165
2015-01-09 21:00:00+00:00,2174
2015-01-09 22:00:00+00:00,2254
2015-01-09 23:00:00+00:00,2273
2015-01-10 00:00:00+00:00,2234
2015-01-10 01:00:00+00:00,2201
2015-01-10 02:00:00+00:00,2147
2015-01-10 03:00:00+00:00,2068
2015-01-10 04:00:00+00:00,1965
2015-01-10 05:00:00+00:00,1833
2015-01-10 06:00:00+00:00,1800
2015-01-10 07:00:00+00:00,1771
2015-01-10 08:00:00+00:00,1755
2015-01-10 09:00:00+00:00,1729
2015-01-10 10:00:00+00:00,1755
2015-01-10 11:00:00+00:00,1818
2015-01-10 12:00:00+00:00,1909
2015-01-10 13:00:00+00:00,1958
2015-01-10 14:00:00+00:00,1985
2015-01-10 15:00:00+00:00,1998
2015-01-10 16:00:00+00:00,2008
2015-01-10 17:00:00+00:00,1999
2015-01-10 18:00:00+00:00,1996
2015-01-10 19:00:00+00:00,1997
2015-01-10 20:00:00+00:00,1997
2015-01-10 21:00:00+00:00,2037
2015-01-10 22:00:00+00:00,2149
2015-01-10 23:00:00+00:00,2182
2015-01-11 00:00:00+00:00,2144
2015-01-11 01:00:00+00:00,2109
2015-01-11 02:00:00+00:00,2059
2015-01-11 03:00:00+00:00,1983
2015-01-11 04:00:00+00:00,1885
2015-01-11 05:00:00+00:00,1774
2015-01-11 06:00:00+00:00,1721
2015-01-11 07:00:00+00:00,1688
2015-01-11 08:00:00+00:00,1666
2015-01-11 09:00:00+00:00,1631
2015-01-11 10:00:00+00:00,1638
2015-01-11 11:00:00+00:00,1684
2015-01-11 12:00:00+00:00,1760
2015-01-11 13:00:00+00:00,1798
2015-01-11 14:00:00+00:00,1833
2015-01-11 15:00:00+00:00,1858
2015-01-11 16:00:00+00:00,1876
2015-01-11 17:00:00+00:00,1871
2015-01-11 18:00:00+00:00,1878
2015-01-11 19:00:00+00:00,1881
2015-01-11 20:00:00+00:00,1890
2015-01-11 21:00:00+00:00,1942
2015-01-11 22:00:00+00:00,2046
2015-01-11 23:00:00+00:00,2083
2015-01-12 00:00:00+00:00,2057
2015-01-12 01:00:00+00:00,2021
2015-01-12 02:00:00+00:00,1966
2015-01-12 03:00:00+00:00,1886
2015-01-12 04:00:00+00:00,1792
2015-01-12 05:00:00+00:00,1688
2015-01-12 06:00:00+00:00,1636
2015-01-12 07:00:00+00:00,1608
2015-01-12 08:00:00+00:00,1603
2015-01-12 09:00:00+00:00,1647
2015-01-12 10:00:00+00:00,1705
2015-01-12 11:00:00+00:00,1846
2015-01-12 12:00:00+00:00,1961
2015-01-12 13:00:00+00:00,1980
2015-01-12 14:00:00+00:00,2005
2015-01-12 15:00:00+00:00,2031
2015-01-12 16:00:00+00:00,2039
2015-01-12 17:00:00+00:00,2038
2015-01-12 18:00:00+00:00,2044
2015-01-12 19:00:00+00:00,2035
2015-01-12 20:00:00+00:00,2025
2015-01-12 21:00:00+00:00,2058
2015-01-12 22:00:00+00:00,2155
2015-01-12 23:00:00+00:00,2191
2015-01-13 00:00:00+00:00,2168
2015-01-13 01:00:00+00:00,2130
2015-01-13 02:00:00+00:00,2060
2015-01-13 03:00:00+00:00,1954
2015-01-13 04:00:00+00:00,1838
2015-01-13 05:00:00+00:00,1769
2015-01-13 06:00:00+00:00,1711
2015-01-13 07:00:00+00:00,1682
2015-01-13 08:00:00+00:00,1674
2015-01-13 09:00:00+00:00,1709
2015-01-13 10:00:00+00:00,1777
2015-01-13 11:00:00+00:00,1918
2015-01-13 12:00:00+00:00,2031
2015-01-13 13:00:00+00:00,2045
2015-01-13 14:00:00+00:00,2066
2015-01-13 15:00:00+00:00,2079
2015-01-13 16:00:00+00:00,2076
2015-01-13 17:00:00+00:00,2049
2015-01-13 18:00:00+00:00,2042
2015-01-13 19:00:00+00:00,2028
2015-01-13 20:00:00+00:00,2009
2015-01-13 21:00:00+00:00,2036
2015-01-13 22:00:00+00:00,2167
2015-01-13 23:00:00+00:00,2232
2015-01-14 00:00:00+00:00,2225
2015-01-14 01:00:00+00:00,2191
2015-01-14 02:00:00+00:00,2118
2015-01-14 03:00:00+00:00,2003
2015-01-14 04:00:00+00:00,1882
2015-01-14 05:00:00+00:00,1799
