Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,LONGIL,61762,32.46,2.16,-12.31
2015-01-01 06:00:00+00:00,LONGIL,61762,52.53,0.5,-47.78
2015-01-01 07:00:00+00:00,LONGIL,61762,39.06,1.21,-27.32
2015-01-01 08:00:00+00:00,LONGIL,61762,31.92,0.99,-22.04
2015-01-01 09:00:00+00:00,LONGIL,61762,31.85,1.02,-21.88
2015-01-01 10:00:00+00:00,LONGIL,61762,37.0,0.94,-27.53
2015-01-01 11:00:00+00:00,LONGIL,61762,39.73,1.07,-29.06
2015-01-01 12:00:00+00:00,LONGIL,61762,26.83,0.81,-18.37
2015-01-01 13:00:00+00:00,LONGIL,61762,21.04,1.6,-4.34
2015-01-01 14:00:00+00:00,LONGIL,61762,15.34,1.45,-0.68
2015-01-01 15:00:00+00:00,LONGIL,61762,14.08,1.11,-4.38
2015-01-01 16:00:00+00:00,LONGIL,61762,24.75,0.98,-16.41
2015-01-01 17:00:00+00:00,LONGIL,61762,40.78,1.05,-31.95
2015-01-01 18:00:00+00:00,LONGIL,61762,39.81,1.09,-30.58
2015-01-01 19:00:00+00:00,LONGIL,61762,25.81,1.53,-12.8
2015-01-01 20:00:00+00:00,LONGIL,61762,20.11,1.49,-7.47
2015-01-01 21:00:00+00:00,LONGIL,61762,21.71,1.28,-10.36
2015-01-01 22:00:00+00:00,LONGIL,61762,31.66,1.79,-16.21
2015-01-01 23:00:00+00:00,LONGIL,61762,30.21,1.14,-20.51
2015-01-02 00:00:00+00:00,LONGIL,61762,23.61,2.2,-4.24
2015-01-02 01:00:00+00:00,LONGIL,61762,24.52,1.27,-13.68
2015-01-02 02:00:00+00:00,LONGIL,61762,22.11,1.72,-7.59
2015-01-02 03:00:00+00:00,LONGIL,61762,17.09,1.58,-3.86
2015-01-02 04:00:00+00:00,LONGIL,61762,14.85,1.67,0.0
2015-01-02 05:00:00+00:00,LONGIL,61762,24.53,1.56,-8.63
2015-01-02 06:00:00+00:00,LONGIL,61762,22.18,1.4,-7.18
2015-01-02 07:00:00+00:00,LONGIL,61762,14.43,1.23,0.0
2015-01-02 08:00:00+00:00,LONGIL,61762,14.33,1.28,0.0
2015-01-02 09:00:00+00:00,LONGIL,61762,13.79,1.23,0.0
2015-01-02 10:00:00+00:00,LONGIL,61762,18.88,1.34,-4.19
2015-01-02 11:00:00+00:00,LONGIL,61762,21.08,2.1,0.0
2015-01-02 12:00:00+00:00,LONGIL,61762,13.66,1.36,0.0
2015-01-02 13:00:00+00:00,LONGIL,61762,21.17,2.28,0.0
2015-01-02 14:00:00+00:00,LONGIL,61762,21.91,2.42,0.0
2015-01-02 15:00:00+00:00,LONGIL,61762,25.15,3.02,-0.33
2015-01-02 16:00:00+00:00,LONGIL,61762,26.06,3.1,-1.14
2015-01-02 17:00:00+00:00,LONGIL,61762,25.5,3.15,-0.84
2015-01-02 18:00:00+00:00,LONGIL,61762,22.42,2.73,0.0
2015-01-02 19:00:00+00:00,LONGIL,61762,21.27,2.53,0.0
2015-01-02 20:00:00+00:00,LONGIL,61762,21.2,2.57,0.0
2015-01-02 21:00:00+00:00,LONGIL,61762,25.93,3.09,0.0
2015-01-02 22:00:00+00:00,LONGIL,61762,48.42,5.19,-3.66
2015-01-02 23:00:00+00:00,LONGIL,61762,103.71,4.38,-68.28
2015-01-03 00:00:00+00:00,LONGIL,61762,28.63,3.38,0.0
2015-01-03 01:00:00+00:00,LONGIL,61762,25.97,3.04,0.0
2015-01-03 02:00:00+00:00,LONGIL,61762,28.85,3.15,0.0
2015-01-03 03:00:00+00:00,LONGIL,61762,26.42,2.77,0.0
2015-01-03 04:00:00+00:00,LONGIL,61762,30.35,3.15,0.0
2015-01-03 05:00:00+00:00,LONGIL,61762,29.41,2.84,0.0
2015-01-03 06:00:00+00:00,LONGIL,61762,30.84,2.94,-0.18
2015-01-03 07:00:00+00:00,LONGIL,61762,31.09,2.95,-0.74
2015-01-03 08:00:00+00:00,LONGIL,61762,26.38,2.36,0.0
2015-01-03 09:00:00+00:00,LONGIL,61762,26.31,2.41,0.0
2015-01-03 10:00:00+00:00,LONGIL,61762,30.46,2.84,-0.03
2015-01-03 11:00:00+00:00,LONGIL,61762,29.04,2.77,0.0
2015-01-03 12:00:00+00:00,LONGIL,61762,25.72,2.43,0.0
2015-01-03 13:00:00+00:00,LONGIL,61762,21.71,2.12,-0.51
2015-01-03 14:00:00+00:00,LONGIL,61762,24.93,2.58,0.0
2015-01-03 15:00:00+00:00,LONGIL,61762,30.25,3.35,-1.48
2015-01-03 16:00:00+00:00,LONGIL,61762,57.36,3.68,-26.23
2015-01-03 17:00:00+00:00,LONGIL,61762,39.41,3.84,-6.41
2015-01-03 18:00:00+00:00,LONGIL,61762,34.9,3.98,0.0
2015-01-03 19:00:00+00:00,LONGIL,61762,38.63,4.49,-0.01
2015-01-03 20:00:00+00:00,LONGIL,61762,48.15,4.07,-13.51
2015-01-03 21:00:00+00:00,LONGIL,61762,229.2,8.47,-157.36
2015-01-03 22:00:00+00:00,LONGIL,61762,32.02,3.47,-1.71
2015-01-03 23:00:00+00:00,LONGIL,61762,43.03,4.72,-2.82
2015-01-04 00:00:00+00:00,LONGIL,61762,50.5,3.93,-17.63
2015-01-04 01:00:00+00:00,LONGIL,61762,33.38,3.94,0.0
2015-01-04 02:00:00+00:00,LONGIL,61762,36.35,3.89,0.0
2015-01-04 03:00:00+00:00,LONGIL,61762,33.03,3.39,-0.02
2015-01-04 04:00:00+00:00,LONGIL,61762,33.83,3.35,-0.58
