Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,NORTH,61755,17.65,-0.33,0.0
2015-01-01 06:00:00+00:00,NORTH,61755,4.15,-0.1,0.0
2015-01-01 07:00:00+00:00,NORTH,61755,10.34,-0.2,0.0
2015-01-01 08:00:00+00:00,NORTH,61755,8.8,-0.1,0.0
2015-01-01 09:00:00+00:00,NORTH,61755,8.85,-0.11,0.0
2015-01-01 10:00:00+00:00,NORTH,61755,8.38,-0.15,0.0
2015-01-01 11:00:00+00:00,NORTH,61755,9.38,-0.22,0.0
2015-01-01 12:00:00+00:00,NORTH,61755,7.47,-0.19,0.0
2015-01-01 13:00:00+00:00,NORTH,61755,14.72,-0.37,0.0
2015-01-01 14:00:00+00:00,NORTH,61755,12.83,-0.38,0.0
2015-01-01 15:00:00+00:00,NORTH,61755,8.29,-0.3,0.0
2015-01-01 16:00:00+00:00,NORTH,61755,7.09,-0.27,0.0
2015-01-01 17:00:00+00:00,NORTH,61755,7.49,-0.3,0.0
2015-01-01 18:00:00+00:00,NORTH,61755,7.79,-0.34,0.0
2015-01-01 19:00:00+00:00,NORTH,61755,11.04,-0.45,0.0
2015-01-01 20:00:00+00:00,NORTH,61755,10.69,-0.46,0.0
2015-01-01 21:00:00+00:00,NORTH,61755,9.6,-0.48,0.0
2015-01-01 22:00:00+00:00,NORTH,61755,12.94,-0.72,0.0
2015-01-01 23:00:00+00:00,NORTH,61755,8.08,-0.49,0.0
2015-01-02 00:00:00+00:00,NORTH,61755,16.28,-0.89,0.0
2015-01-02 01:00:00+00:00,NORTH,61755,9.08,-0.49,0.0
2015-01-02 02:00:00+00:00,NORTH,61755,12.24,-0.56,0.0
2015-01-02 03:00:00+00:00,NORTH,61755,11.12,-0.53,0.0
2015-01-02 04:00:00+00:00,NORTH,61755,12.67,-0.5,0.0
2015-01-02 05:00:00+00:00,NORTH,61755,13.89,-0.45,0.0
2015-01-02 06:00:00+00:00,NORTH,61755,13.26,-0.34,0.0
2015-01-02 07:00:00+00:00,NORTH,61755,12.91,-0.29,0.0
2015-01-02 08:00:00+00:00,NORTH,61755,12.82,-0.22,0.0
2015-01-02 09:00:00+00:00,NORTH,61755,12.3,-0.25,0.0
2015-01-02 10:00:00+00:00,NORTH,61755,13.09,-0.25,0.0
2015-01-02 11:00:00+00:00,NORTH,61755,18.38,-0.61,0.0
2015-01-02 12:00:00+00:00,NORTH,61755,11.88,-0.42,0.0
2015-01-02 13:00:00+00:00,NORTH,61755,18.19,-0.7,0.0
2015-01-02 14:00:00+00:00,NORTH,61755,18.62,-0.86,0.0
2015-01-02 15:00:00+00:00,NORTH,61755,20.56,-1.23,0.0
2015-01-02 16:00:00+00:00,NORTH,61755,20.42,-1.41,0.0
2015-01-02 17:00:00+00:00,NORTH,61755,20.32,-1.19,0.0
2015-01-02 18:00:00+00:00,NORTH,61755,18.66,-1.02,0.0
2015-01-02 19:00:00+00:00,NORTH,61755,17.68,-1.06,0.0
2015-01-02 20:00:00+00:00,NORTH,61755,17.69,-0.94,0.0
2015-01-02 21:00:00+00:00,NORTH,61755,21.9,-0.94,0.0
2015-01-02 22:00:00+00:00,NORTH,61755,38.16,-1.41,0.0
2015-01-02 23:00:00+00:00,NORTH,61755,29.9,-1.16,0.0
2015-01-03 00:00:00+00:00,NORTH,61755,24.15,-1.1,0.0
2015-01-03 01:00:00+00:00,NORTH,61755,22.09,-0.85,0.0
2015-01-03 02:00:00+00:00,NORTH,61755,25.23,-0.47,0.0
2015-01-03 03:00:00+00:00,NORTH,61755,23.4,-0.27,0.0
2015-01-03 04:00:00+00:00,NORTH,61755,27.05,-0.15,0.0
2015-01-03 05:00:00+00:00,NORTH,61755,26.56,0.0,0.0
2015-01-03 06:00:00+00:00,NORTH,61755,27.77,0.05,0.0
2015-01-03 07:00:00+00:00,NORTH,61755,27.45,0.06,0.0
2015-01-03 08:00:00+00:00,NORTH,61755,24.11,0.09,0.0
2015-01-03 09:00:00+00:00,NORTH,61755,24.01,0.12,0.0
2015-01-03 10:00:00+00:00,NORTH,61755,27.79,0.19,0.0
2015-01-03 11:00:00+00:00,NORTH,61755,26.43,0.16,0.0
2015-01-03 12:00:00+00:00,NORTH,61755,23.25,-0.03,0.0
2015-01-03 13:00:00+00:00,NORTH,61755,18.82,-0.26,0.0
2015-01-03 14:00:00+00:00,NORTH,61755,22.06,-0.28,0.0
2015-01-03 15:00:00+00:00,NORTH,61755,25.14,-0.28,0.0
2015-01-03 16:00:00+00:00,NORTH,61755,26.98,-0.48,0.0
2015-01-03 17:00:00+00:00,NORTH,61755,28.81,-0.35,0.0
2015-01-03 18:00:00+00:00,NORTH,61755,30.58,-0.33,0.0
2015-01-03 19:00:00+00:00,NORTH,61755,33.68,-0.45,0.0
2015-01-03 20:00:00+00:00,NORTH,61755,29.89,-0.69,0.0
2015-01-03 21:00:00+00:00,NORTH,61755,61.94,-1.42,0.0
2015-01-03 22:00:00+00:00,NORTH,61755,26.04,-0.79,0.0
2015-01-03 23:00:00+00:00,NORTH,61755,34.23,-1.25,0.0
2015-01-04 00:00:00+00:00,NORTH,61755,27.95,-0.99,0.0
2015-01-04 01:00:00+00:00,NORTH,61755,28.39,-1.06,0.0
2015-01-04 02:00:00+00:00,NORTH,61755,31.74,-0.71,0.0
2015-01-04 03:00:00+00:00,NORTH,61755,29.07,-0.56,0.0
2015-01-04 04:00:00+00:00,NORTH,61755,29.56,-0.35,0.0
2015-01-04 05:00:00+00:00,NORTH,61755,31.95,-0.17,0.0
2015-01-04 06:00:00+00:00,NORTH,61755,21.12,-0.04,0.0
2015-01-04 07:00:00+00:00,NORTH,61755,14.95,-0.03,0.0
2015-01-04 08:00:00+00:00,NORTH,61755,22.28,-0.04,0.0
2015-01-04 09:00:00+00:00,NORTH,61755,20.13,-0.07,0.0
2015-01-04 10:00:00+00:00,NORTH,61755,20.31,-0.14,0.0
2015-01-04 11:00:00+00:00,NORTH,61755,20.5,-0.16,0.0
2015-01-04 12:00:00+00:00,NORTH,61755,22.09,-0.29,0.0
2015-01-04 13:00:00+00:00,NORTH,61755,25.86,-0.34,0.0
2015-01-04 14:00:00+00:00,NORTH,61755,26.41,-0.35,0.0
2015-01-04 15:00:00+00:00,NORTH,61755,25.54,-0.51,0.0
2015-01-04 16:00:00+00:00,NORTH,61755,26.08,-0.67,0.0
2015-01-04 17:00:00+00:00,NORTH,61755,24.83,-0.6,0.0
2015-01-04 18:00:00+00:00,NORTH,61755,20.94,-0.6,0.0
2015-01-04 19:00:00+00:00,NORTH,61755,21.45,-0.59,0.0
2015-01-04 20:00:00+00:00,NORTH,61755,22.18,-0.89,0.0
2015-01-04 21:00:00+00:00,NORTH,61755,24.2,-1.34,0.0
2015-01-04 22:00:00+00:00,NORTH,61755,23.45,-1.44,0.0
