Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,N.Y.C.,61761,31.91,1.62,-12.31
2015-01-01 06:00:00+00:00,N.Y.C.,61761,52.37,0.36,-47.77
2015-01-01 07:00:00+00:00,N.Y.C.,61761,38.69,0.84,-27.31
2015-01-01 08:00:00+00:00,N.Y.C.,61761,31.63,0.7,-22.03
2015-01-01 09:00:00+00:00,N.Y.C.,61761,31.55,0.72,-21.87
2015-01-01 10:00:00+00:00,N.Y.C.,61761,36.75,0.69,-27.53
2015-01-01 11:00:00+00:00,N.Y.C.,61761,39.41,0.76,-29.05
2015-01-01 12:00:00+00:00,N.Y.C.,61761,26.62,0.6,-18.36
2015-01-01 13:00:00+00:00,N.Y.C.,61761,20.67,1.24,-4.34
2015-01-01 14:00:00+00:00,N.Y.C.,61761,15.02,1.13,-0.68
2015-01-01 15:00:00+00:00,N.Y.C.,61761,13.82,0.85,-4.38
2015-01-01 16:00:00+00:00,N.Y.C.,61761,23.3,0.73,-15.21
2015-01-01 17:00:00+00:00,N.Y.C.,61761,21.76,0.79,-13.18
2015-01-01 18:00:00+00:00,N.Y.C.,61761,19.67,0.83,-10.71
2015-01-01 19:00:00+00:00,N.Y.C.,61761,20.0,1.17,-7.34
2015-01-01 20:00:00+00:00,N.Y.C.,61761,19.75,1.13,-7.46
2015-01-01 21:00:00+00:00,N.Y.C.,61761,21.45,1.01,-10.36
2015-01-01 22:00:00+00:00,N.Y.C.,61761,31.25,1.38,-16.21
2015-01-01 23:00:00+00:00,N.Y.C.,61761,29.96,0.89,-20.5
2015-01-02 00:00:00+00:00,N.Y.C.,61761,23.18,1.77,-4.24
2015-01-02 01:00:00+00:00,N.Y.C.,61761,24.24,1.0,-13.68
2015-01-02 02:00:00+00:00,N.Y.C.,61761,19.6,1.33,-5.47
2015-01-02 03:00:00+00:00,N.Y.C.,61761,27.64,1.21,-14.78
2015-01-02 04:00:00+00:00,N.Y.C.,61761,18.07,1.27,-3.62
2015-01-02 05:00:00+00:00,N.Y.C.,61761,24.18,1.22,-8.63
2015-01-02 06:00:00+00:00,N.Y.C.,61761,21.85,1.07,-7.18
2015-01-02 07:00:00+00:00,N.Y.C.,61761,14.17,0.97,0.0
2015-01-02 08:00:00+00:00,N.Y.C.,61761,14.0,0.96,0.0
2015-01-02 09:00:00+00:00,N.Y.C.,61761,13.49,0.94,0.0
2015-01-02 10:00:00+00:00,N.Y.C.,61761,18.61,1.08,-4.19
2015-01-02 11:00:00+00:00,N.Y.C.,61761,20.73,1.74,0.0
2015-01-02 12:00:00+00:00,N.Y.C.,61761,13.42,1.11,0.0
2015-01-02 13:00:00+00:00,N.Y.C.,61761,44.14,1.87,-23.39
2015-01-02 14:00:00+00:00,N.Y.C.,61761,21.77,2.05,-0.25
2015-01-02 15:00:00+00:00,N.Y.C.,61761,29.4,2.34,-5.27
2015-01-02 16:00:00+00:00,N.Y.C.,61761,31.18,2.46,-6.9
2015-01-02 17:00:00+00:00,N.Y.C.,61761,121.34,2.49,-97.33
2015-01-02 18:00:00+00:00,N.Y.C.,61761,141.55,2.22,-119.65
2015-01-02 19:00:00+00:00,N.Y.C.,61761,25.15,2.09,-4.32
2015-01-02 20:00:00+00:00,N.Y.C.,61761,20.71,2.08,0.0
2015-01-02 21:00:00+00:00,N.Y.C.,61761,25.29,2.45,0.0
2015-01-02 22:00:00+00:00,N.Y.C.,61761,43.82,4.25,0.0
2015-01-02 23:00:00+00:00,N.Y.C.,61761,36.17,3.32,-1.8
2015-01-03 00:00:00+00:00,N.Y.C.,61761,32.99,2.64,-5.1
2015-01-03 01:00:00+00:00,N.Y.C.,61761,36.2,2.33,-10.93
2015-01-03 02:00:00+00:00,N.Y.C.,61761,29.22,2.47,-1.05
2015-01-03 03:00:00+00:00,N.Y.C.,61761,37.85,2.18,-12.02
2015-01-03 04:00:00+00:00,N.Y.C.,61761,33.76,2.33,-4.23
2015-01-03 05:00:00+00:00,N.Y.C.,61761,28.58,2.02,0.0
2015-01-03 06:00:00+00:00,N.Y.C.,61761,29.92,2.02,-0.18
2015-01-03 07:00:00+00:00,N.Y.C.,61761,30.18,2.04,-0.74
2015-01-03 08:00:00+00:00,N.Y.C.,61761,25.7,1.68,0.0
2015-01-03 09:00:00+00:00,N.Y.C.,61761,25.57,1.67,0.0
2015-01-03 10:00:00+00:00,N.Y.C.,61761,29.63,2.01,-0.03
2015-01-03 11:00:00+00:00,N.Y.C.,61761,28.37,2.1,0.0
2015-01-03 12:00:00+00:00,N.Y.C.,61761,25.25,1.96,0.0
2015-01-03 13:00:00+00:00,N.Y.C.,61761,21.27,1.68,-0.51
2015-01-03 14:00:00+00:00,N.Y.C.,61761,24.36,2.02,0.0
2015-01-03 15:00:00+00:00,N.Y.C.,61761,28.04,2.49,-0.13
2015-01-03 16:00:00+00:00,N.Y.C.,61761,31.08,2.8,-0.82
2015-01-03 17:00:00+00:00,N.Y.C.,61761,32.07,2.91,0.0
2015-01-03 18:00:00+00:00,N.Y.C.,61761,33.9,2.99,0.0
2015-01-03 19:00:00+00:00,N.Y.C.,61761,37.42,3.29,0.0
2015-01-03 20:00:00+00:00,N.Y.C.,61761,33.64,3.07,0.0
2015-01-03 21:00:00+00:00,N.Y.C.,61761,69.64,6.28,0.0
2015-01-03 22:00:00+00:00,N.Y.C.,61761,30.5,2.74,-0.92
2015-01-03 23:00:00+00:00,N.Y.C.,61761,39.13,3.65,0.0
2015-01-04 00:00:00+00:00,N.Y.C.,61761,31.89,2.95,0.0
2015-01-04 01:00:00+00:00,N.Y.C.,61761,32.35,2.91,0.0
2015-01-04 02:00:00+00:00,N.Y.C.,61761,35.3,2.84,0.0
2015-01-04 03:00:00+00:00,N.Y.C.,61761,32.13,2.49,-0.02
2015-01-04 04:00:00+00:00,N.Y.C.,61761,32.84,2.36,-0.57
