Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2015-01-01 05:00:00+00:00,WEST,61752,18.39,-1.58,-1.99
2015-01-01 06:00:00+00:00,WEST,61752,11.65,-0.3,-7.71
2015-01-01 07:00:00+00:00,WEST,61752,14.07,-0.87,-4.41
2015-01-01 08:00:00+00:00,WEST,61752,11.7,-0.75,-3.56
2015-01-01 09:00:00+00:00,WEST,61752,11.68,-0.81,-3.53
2015-01-01 10:00:00+00:00,WEST,61752,12.24,-0.73,-4.44
2015-01-01 11:00:00+00:00,WEST,61752,13.5,-0.79,-4.68
2015-01-01 12:00:00+00:00,WEST,61752,10.02,-0.6,-2.96
2015-01-01 13:00:00+00:00,WEST,61752,14.5,-1.3,-0.7
2015-01-01 14:00:00+00:00,WEST,61752,12.32,-1.01,-0.11
2015-01-01 15:00:00+00:00,WEST,61752,8.73,-0.57,-0.71
2015-01-01 16:00:00+00:00,WEST,61752,9.38,-0.42,-2.44
2015-01-01 17:00:00+00:00,WEST,61752,9.3,-0.52,-2.04
2015-01-01 18:00:00+00:00,WEST,61752,9.24,-0.54,-1.65
2015-01-01 19:00:00+00:00,WEST,61752,11.76,-0.86,-1.14
2015-01-01 20:00:00+00:00,WEST,61752,11.5,-0.8,-1.15
2015-01-01 21:00:00+00:00,WEST,61752,11.07,-0.61,-1.6
2015-01-01 22:00:00+00:00,WEST,61752,15.35,-0.82,-2.51
2015-01-01 23:00:00+00:00,WEST,61752,11.23,-0.5,-3.17
2015-01-02 00:00:00+00:00,WEST,61752,16.66,-1.16,-0.66
2015-01-02 01:00:00+00:00,WEST,61752,11.01,-0.67,-2.12
2015-01-02 02:00:00+00:00,WEST,61752,12.5,-0.97,-0.66
2015-01-02 03:00:00+00:00,WEST,61752,11.07,-0.7,-0.12
2015-01-02 04:00:00+00:00,WEST,61752,12.28,-0.9,0.0
2015-01-02 05:00:00+00:00,WEST,61752,14.46,-1.21,-1.33
2015-01-02 06:00:00+00:00,WEST,61752,13.58,-1.13,-1.11
2015-01-02 07:00:00+00:00,WEST,61752,12.25,-0.94,0.0
2015-01-02 08:00:00+00:00,WEST,61752,12.1,-0.95,0.0
2015-01-02 09:00:00+00:00,WEST,61752,11.72,-0.84,0.0
2015-01-02 10:00:00+00:00,WEST,61752,13.07,-0.92,-0.65
2015-01-02 11:00:00+00:00,WEST,61752,18.18,-0.8,0.0
2015-01-02 12:00:00+00:00,WEST,61752,11.86,-0.45,0.0
2015-01-02 13:00:00+00:00,WEST,61752,18.07,-0.82,0.0
2015-01-02 14:00:00+00:00,WEST,61752,18.39,-1.09,0.0
2015-01-02 15:00:00+00:00,WEST,61752,20.73,-1.11,-0.05
2015-01-02 16:00:00+00:00,WEST,61752,20.82,-1.18,-0.18
